id,name,slug,type,status,featured,catalog_visibility,price,regular_price,sale_price,on_sale,stock_status,stock_quantity,sku,date_created,date_modified
9880,הכיתה הפרהיסטורית- קבצים דיגיטליים,%d7%94%d7%9b%d7%99%d7%aa%d7%94-%d7%94%d7%a4%d7%a8%d7%94%d7%99%d7%a1%d7%98%d7%95%d7%a8%d7%99%d7%aa-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,45,45,,False,instock,,,2020-07-19T21:01:30,2024-09-26T11:30:50
9922,כיתת תפוחים- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%aa%d7%a4%d7%95%d7%97%d7%99%d7%9d-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,40,40,,False,instock,,,2020-07-26T21:22:10,2024-09-26T11:30:40
9936,כיתה בשחור-לבן- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%94-%d7%91%d7%a9%d7%97%d7%95%d7%a8-%d7%9c%d7%91%d7%9f-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,35,35,,False,instock,,,2020-07-26T22:27:50,2024-09-26T11:30:32
10030,כיתת מיקי מאוס- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%9e%d7%99%d7%a7%d7%99-%d7%9e%d7%90%d7%95%d7%a1-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,45,45,,False,instock,,,2020-08-03T18:48:38,2024-09-26T11:30:21
10168,כיתה מהסרטים - קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%94-%d7%9e%d7%94%d7%a1%d7%a8%d7%98%d7%99%d7%9d-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,45,45,,False,instock,,,2020-08-16T22:47:49,2024-08-12T18:53:49
10235,כיתת פנדה- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%a4%d7%a0%d7%93%d7%94-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,45,45,,False,instock,,,2020-08-22T22:07:38,2024-08-12T18:53:03
10619,"תעודה ""קצת אחרת"" כולל רכישת זכויות יוצרים- קובץ דיגיטלי",%d7%aa%d7%a2%d7%95%d7%93%d7%94-%d7%a7%d7%a6%d7%aa-%d7%90%d7%97%d7%a8%d7%aa-%d7%9b%d7%95%d7%9c%d7%9c-%d7%a8%d7%9b%d7%99%d7%a9%d7%aa-%d7%96%d7%9b%d7%95%d7%99%d7%95%d7%aa-%d7%99%d7%95%d7%a6%d7%a8,simple,publish,False,visible,50,50,,False,instock,,,2020-12-14T11:43:29,2021-01-12T20:51:44
10732,"קובץ דיגיטלי תעודה ""קצת אחרת"" גיבורי על כולל זכויות יוצרים!",%d7%a7%d7%95%d7%91%d7%a5-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%aa%d7%a2%d7%95%d7%93%d7%94-%d7%a7%d7%a6%d7%aa-%d7%90%d7%97%d7%a8%d7%aa-%d7%92%d7%99%d7%91%d7%95%d7%a8%d7%99-%d7%a2%d7%9c,simple,publish,False,visible,50,50,,False,instock,,,2021-01-25T20:26:58,2024-09-26T11:22:30
10740,"קובץ דיגיטלי תעודה ""קצת אחרת"" גיבורי על ללא זכויות יוצרים",%d7%a7%d7%95%d7%91%d7%a5-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99-%d7%aa%d7%a2%d7%95%d7%93%d7%94-%d7%a7%d7%a6%d7%aa-%d7%90%d7%97%d7%a8%d7%aa-%d7%92%d7%99%d7%91%d7%95%d7%a8%d7%99-%d7%a2%d7%9c-2,simple,publish,False,visible,17,17,,False,instock,,,2021-01-25T20:31:46,2024-09-26T11:22:01
11036,"פוסטר ""חברות""- קובץ דיגיטלי",%d7%a4%d7%95%d7%a1%d7%98%d7%a8-%d7%97%d7%91%d7%a8%d7%95%d7%aa-%d7%a7%d7%95%d7%91%d7%a5-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99,simple,publish,False,visible,25,25,,False,instock,,,2021-07-26T11:24:50,2024-09-26T11:29:33
